MAX_CAT: SLGT
RAMP_UP: 0
RAMP_DOWN: 0
RAMP_CAT: neither
SEASON: Summer
PPH_CAT: HIGH
PPH_NUM: 71.30376743559009
REPORT_NUM: 149
TOR_NUM: 8
WIND_NUM: 88
HAIL_NUM: 53
TOR_F: (E)F0
WINDSP_CAT: sig_severe
WINDSP_NUM: 72.0
HAILSZ_CAT: sig_severe
HAILSZ_NUM: 4.5
NEIGH_NUM: 0.0012231841191066995
RMSE_NUM: 0.016425455228888247
BS_NUM: 0.0072196029776674915
REGION_M: Midwest
LAT_NUM: 43.45735168457031
LON_NUM: -97.85691833496094
PPH_D_CAT: MDT
PPH_D_NUM: 55.730399926431836
POD_NUM: 0.12339747363294457
FAR_NUM: 0.797814282473979
POD_H_NUM: 0.1187006418966904
FAR_H_NUM: 0.9038561779029922
POD_W_NUM: 0.12296598441917644
FAR_W_NUM: 0.8528885491994247
POD_T_NUM: 0.005292877049314852
FAR_T_NUM: 0.9228122096974918
E_SH_NUM: -142155.18582246656
N_SH_NUM: 161813.85229148244
DIV_NUM: 0.06890944777673012
E_SH_W_NUM: -98764.00656833703
N_SH_W_NUM: 157856.7466191766
DIV_W_NUM: -0.032653894035026935
E_SH_H_NUM: -18977.223626518702
N_SH_H_NUM: -155922.59944015654
DIV_H_NUM: -0.5169332731019045
E_SH_T_NUM: -72406.38482576706
N_SH_T_NUM: -171669.59027728927
DIV_T_NUM: -1.0782856841882071
PC_W_NUM: 0.9879012192831371
PC_H_NUM: 0.9914098318244214
PC_T_NUM: 0.9987748718409745
PC_NUM: 0.985789591675393
POFD_W_NUM: 0.005466505203653589
POFD_H_NUM: 0.0048203660592600174
POFD_T_NUM: 7.336036115515006e-05
POFD_NUM: 0.005128043992163908
DFR_W_NUM: 0.006716595169726031
DFR_H_NUM: 0.0038107707280490358
DFR_T_NUM: 0.001151944217349731
DFR_NUM: 0.009194289427562327
CSI_W_NUM: 0.07178803628974503
CSI_H_NUM: 0.05609897199552305
CSI_T_NUM: 0.004977883774423876
CSI_NUM: 0.08298864413551404
Bias_W_NUM: 0.8358695652173911
Bias_H_NUM: 1.2346153846153847
Bias_T_NUM: 0.06857142857142857
Bias_NUM: 0.6103174603174604
ETS_W_NUM: 0.07178640737114567
ETS_H_NUM: 0.05609546777089051
ETS_T_NUM: 0.0049763672996353675
ETS_NUM: 0.08298765579517191
TSS_W_NUM: 0.11749947921552287
TSS_H_NUM: 0.11388027583743035
TSS_T_NUM: 0.0052195166881597015
TSS_NUM: 0.11826942964078066
