MAX_CAT: MRGL
RAMP_UP: 0
RAMP_DOWN: 0
RAMP_CAT: neither
SEASON: Summer
PPH_CAT: HIGH
PPH_NUM: 67.3120165532568
REPORT_NUM: 77
TOR_NUM: 3
WIND_NUM: 68
HAIL_NUM: 6
TOR_F: (E)F0
WINDSP_CAT: sig_severe
WINDSP_NUM: 65.0
HAILSZ_CAT: severe
HAILSZ_NUM: 1.75
NEIGH_NUM: 0.0010293048800661703
RMSE_NUM: 0.019600983183064666
BS_NUM: 0.00666294458229942
REGION_M: South
LAT_NUM: 34.66472625732422
LON_NUM: -84.482421875
PPH_D_CAT: HIGH
PPH_D_NUM: 67.3120165532568
POD_NUM: 0.021992536670846847
FAR_NUM: 0.8514411430181207
POD_H_NUM: 0.0
FAR_H_NUM: 1.0
POD_W_NUM: 0.024911893730664023
FAR_W_NUM: 0.8485087543405567
POD_T_NUM: 0.0
FAR_T_NUM: 0.0
E_SH_NUM: 144178.4502223307
N_SH_NUM: -40920.001962185415
DIV_NUM: 0.06198466552224088
E_SH_W_NUM: 106901.62414845155
N_SH_W_NUM: -113327.99614978992
DIV_W_NUM: -0.010753880343022186
E_SH_H_NUM: 4276.9066408370645
N_SH_H_NUM: 21179.494196649925
DIV_H_NUM: -0.3889074183123953
E_SH_T_NUM: -1607.3578366642812
N_SH_T_NUM: 738.5379669892541
DIV_T_NUM: 0.28028537705333806
PC_W_NUM: 0.9917025757544681
PC_H_NUM: 0.9987262200165427
PC_T_NUM: 0.9996691480562448
PC_NUM: 0.9906853992953558
POFD_W_NUM: 0.0010464941303533536
POFD_H_NUM: 0.0002815035601920849
POFD_T_NUM: 0.0
POFD_NUM: 0.0010724692408720067
DFR_W_NUM: 0.0072676170634225715
DFR_H_NUM: 0.000992835040458028
DFR_T_NUM: 0.00033085194375516956
DFR_NUM: 0.00826149792210069
CSI_W_NUM: 0.021861502521415214
CSI_H_NUM: 0.0
CSI_T_NUM: 0.0
CSI_NUM: 0.019530750439294652
Bias_W_NUM: 0.16444444444444448
Bias_H_NUM: 0.2833333333333334
Bias_T_NUM: 0.0
Bias_NUM: 0.14803921568627446
ETS_W_NUM: 0.02186098362074189
ETS_H_NUM: -6.087139914343201e-06
ETS_T_NUM: 0.0
ETS_NUM: 0.01953033233169374
TSS_W_NUM: 0.023865399600310665
TSS_H_NUM: -0.0002815035601920849
TSS_T_NUM: 0.0
TSS_NUM: 0.020920067429974838
